Format Version,1.23,Take Name,Take 2024-09-30 02.17.04 PM_002,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-09-30 02.27.27.419 PM,Total Frames in Take,23631,Total Exported Frames,23631,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B
,ID,"C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,-0.025942,-0.810454,-0.000258,0.585228,0.007381,0.004096,-0.059320,0.001331
1,0.002778,-0.026121,-0.810416,-0.000923,0.585272,0.006551,0.004013,-0.060003,0.000827
2,0.005556,-0.026309,-0.810390,-0.001515,0.585298,0.005776,0.003939,-0.060583,0.000837
3,0.008333,-0.026461,-0.810361,-0.002016,0.585329,0.005128,0.003873,-0.061079,0.000820
4,0.011111,-0.025244,-0.810590,0.001939,0.585067,0.010256,0.004388,-0.057165,0.001307
5,0.013889,-0.025565,-0.810549,0.000989,0.585112,0.008987,0.004265,-0.058078,0.000808
6,0.016667,-0.025823,-0.810322,0.000079,0.585416,0.007851,0.004146,-0.059044,0.000581
7,0.019444,-0.026072,-0.810131,-0.000724,0.585669,0.006820,0.004043,-0.059875,0.000590
8,0.022222,-0.026268,-0.810141,-0.001321,0.585645,0.006024,0.003964,-0.060440,0.000818
9,0.025000,-0.026413,-0.810154,-0.001843,0.585620,0.005364,0.003893,-0.060958,0.000834
10,0.027778,-0.025297,-0.810431,0.002092,0.585284,0.010344,0.004406,-0.056964,0.001312
11,0.030556,,,,,,,,
12,0.033333,-0.021231,-0.811387,0.016388,0.583893,0.028443,0.006268,-0.042446,0.000831
13,0.036111,0.021052,0.811394,-0.016930,-0.583875,0.029164,0.006337,-0.041925,0.001315
14,0.038889,0.020907,0.811408,-0.017386,-0.583848,0.029759,0.006395,-0.041480,0.001314
15,0.041667,0.022014,0.811216,-0.013485,-0.584176,0.024820,0.005886,-0.045432,0.000826
16,0.044444,0.023026,0.811053,-0.010118,-0.584432,0.020486,0.005447,-0.048786,0.000806
17,0.047222,0.023862,0.810896,-0.007202,-0.584660,0.016784,0.005073,-0.051734,0.000815
