Wall time,Step,Value
1736847343.859617,0,148.88284301757812
1736847393.7409298,32,159.74725341796875
1736847445.526079,64,168.90863037109375
1736847495.9021845,96,156.66392517089844
1736847547.7546852,128,180.4895477294922
1736847599.3915062,160,167.20468139648438
1736847650.5741253,192,178.1251678466797
1736847701.8916187,224,172.2243194580078
1736847752.3663645,256,168.14617919921875
1736847802.2344081,288,175.4186248779297
1736847852.3284664,320,167.37240600585938
1736847902.0451365,352,174.76995849609375
1736847951.5266244,384,171.7627410888672
1736847999.9625342,416,189.6114044189453
1736848049.5324755,448,175.03860473632812
1736848098.065032,480,185.6144561767578
1736848146.9412293,512,177.96690368652344
1736848197.9949439,544,171.18214416503906
1736848246.7140348,576,178.3150177001953
1736848295.4901545,608,172.896484375
1736848343.9051456,640,172.32745361328125
1736848391.9698255,672,190.2843475341797
1736848440.417778,704,199.3808135986328
1736848488.1124427,736,183.8980255126953
1736848537.2702448,768,170.26278686523438
1736848586.868609,800,173.4325714111328
1736848635.7764978,832,185.98599243164062
1736848685.7021558,864,211.25778198242188
1736848735.4515765,896,185.01693725585938
1736848783.7123513,928,187.212890625
1736848831.7018974,960,184.2005615234375
1736848880.486221,992,188.2131805419922
1736848928.7169235,1024,193.52835083007812
1736848977.3670208,1056,203.24209594726562
1736849021.8083165,1088,178.91522216796875
1736849070.2221384,1120,188.68922424316406
1736849119.4607582,1152,202.47975158691406
1736849167.2199504,1184,187.591796875
1736849216.720045,1216,179.58262634277344
1736849265.1810071,1248,194.2631378173828
1736849313.1980016,1280,185.42813110351562
1736849361.8640854,1312,177.38023376464844
1736849410.1677132,1344,173.04296875
1736849458.9488418,1376,175.81887817382812
1736849507.1382318,1408,192.89822387695312
1736849555.3192723,1440,183.41207885742188
1736849604.324213,1472,198.6972198486328
1736849654.2377746,1504,195.88861083984375
1736849699.9426973,1536,193.68820190429688
1736849745.9821806,1568,173.27877807617188
1736849795.393594,1600,177.88137817382812
1736849843.3096092,1632,188.55348205566406
1736849891.7170055,1664,210.8027801513672
1736849940.9508846,1696,203.87789916992188
1736849990.3358393,1728,207.69322204589844
1736850039.4463608,1760,214.4143524169922
1736850087.2012215,1792,213.40692138671875
1736850135.3582127,1824,198.36297607421875
1736850183.5370123,1856,197.11160278320312
1736850231.765142,1888,211.29930114746094
1736850280.3997195,1920,184.46327209472656
1736850328.7995667,1952,207.9750213623047
1736850377.0598648,1984,247.2021484375
1736850424.6237185,2016,209.22825622558594
1736850472.7461002,2048,221.3436279296875
1736850521.5077918,2080,230.0231475830078
1736850569.9971044,2112,203.5279541015625
1736850617.7385337,2144,218.45034790039062
1736850665.2695644,2176,234.35623168945312
1736850712.8732913,2208,227.1566925048828
1736850760.533561,2240,218.00637817382812
1736850808.1938708,2272,217.59317016601562
1736850856.720237,2304,227.46311950683594
1736850905.092561,2336,208.5345458984375
1736850952.723671,2368,200.35533142089844
1736851000.6508298,2400,192.94357299804688
1736851048.6504092,2432,212.6532745361328
1736851097.5518,2464,205.00167846679688
1736851146.8529434,2496,194.36697387695312
1736851194.3838274,2528,207.38035583496094
1736851242.4025073,2560,191.61180114746094
1736851290.6789484,2592,200.8633575439453
1736851339.528011,2624,227.4156494140625
1736851388.3586576,2656,212.86582946777344
1736851437.1441233,2688,207.53939819335938
1736851484.6710482,2720,224.24729919433594
1736851532.1628847,2752,209.9711456298828
1736851580.6973855,2784,232.84046936035156
1736851629.4640691,2816,234.73068237304688
1736851678.6436718,2848,231.75196838378906
1736851726.1022954,2880,255.89935302734375
1736851773.9380264,2912,232.7236785888672
1736851822.2779233,2944,226.72317504882812
1736851871.3095224,2976,213.47274780273438
1736851919.9799795,3008,211.1748809814453
1736851968.342037,3040,226.7572479248047
1736852015.2793274,3072,208.39540100097656
